# curie_map:
#   ARI: https://diseases.autoimmuneregistry.org/disease/ARI_
#   SNOMEDCT: http://snomed.info/id/
#   omop: https://athena.ohdsi.org/search-terms/terms/
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   ncit: http://purl.obolibrary.org/obo/NCIT_
#   icd10cm: http://purl.bioontology.org/ontology/ICD10CM/
#   ORPHA: https://www.orpha.net/en/disease/detail/
#   OMIM: https://omim.org/entry/
#   umls: https://uts.nlm.nih.gov/uts/umls/concept/
#   mesh: http://id.nlm.nih.gov/mesh/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   sssom: https://w3id.org/sssom/
#   orcid: https://orcid.org/
#   github: https://github.com/
# mapping_set_id: https://diseases.autoimmuneregistry.org/mappings/ari.sssom.tsv
# mapping_provider: https://www.autoimmuneregistry.org
# mapping_set_title: ARI disease cross-reference mappings
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_source	mapping_justification	author_id	mapping_date	comment
ARI:0001008	Adult onset Still's disease	skos:exactMatch		umls:C0085253	umls	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001008	Adult onset Still's disease	skos:exactMatch		DOID:14256	DOID	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001008	Adult onset Still's disease	skos:exactMatch		icd10cm:M06.1	icd10cm	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001008	Adult onset Still's disease	skos:exactMatch		mesh:D016706	mesh	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001008	Adult onset Still's disease	skos:exactMatch		ncit:C197832	ncit	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001007	Adult-onset immunodeficiency due to anti-IFN-gamma autoantibodies	skos:exactMatch		SNOMEDCT:784393004	SNOMEDCT	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001007	Adult-onset immunodeficiency due to anti-IFN-gamma autoantibodies	skos:exactMatch		omop:37205096	omop	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001009	Age related macular degeneration	skos:exactMatch		SNOMEDCT:267718000	SNOMEDCT	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001009	Age related macular degeneration	skos:exactMatch		omop:374028	omop	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001009	Age related macular degeneration	skos:exactMatch		DOID:10871	DOID	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
ARI:0001009	Age related macular degeneration	skos:exactMatch		umls:C0242383	umls	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21T00:00:00+00:00	
