ARI ID,Preferred Name,DOID,DOID Label,Score,Match Type,Matched Via,DOID SNOMED xref,DOID Obsolete
ARI:0001001,Acquired epidermolysis bullosa,DOID:4313,epidermolysis bullosa acquisita,0.772,name,Epidermolysis bullosa acquisita,2772003,
ARI:0001002,Acquired hemophilia,,,,,no match,,
ARI:0001003,Acute disseminated encephalomyelitis,DOID:639,acute disseminated encephalomyelitis,0.772,name,(preferred name),83942000,
ARI:0001004,Acute febrile mucocutaneous lymph node syndrome,DOID:13378,Kawasaki disease,0.556,synonym,Kawasaki's disease,75053002,
ARI:0001005,Acute lichenoid pityriasis,,,,,no match,,
ARI:0001006,Addison's disease,DOID:13774,Addison's disease,0.778,name,(preferred name),363732003,
ARI:0001007,Adult-onset immunodeficiency due to anti-IFN-gamma autoantibodies,,,,,no match,,
ARI:0001008,Adult onset Still's disease,DOID:14256,adult-onset Still's disease,0.549,synonym,(preferred name),239920006,
ARI:0001009,Age related macular degeneration,DOID:10871,age related macular degeneration,0.772,name,(preferred name),18222007,
ARI:0001010,Alopecia areata,DOID:986,alopecia areata,0.772,name,(preferred name),201131001,
ARI:0001011,Angiofollicular lymph node hyperplasia,DOID:0111157,Castleman disease,0.772,name,Castleman Disease,207036003,
ARI:0001012,Ankylosing spondylitis,DOID:7147,ankylosing spondylitis,0.772,name,(preferred name),156619005,
ARI:0001013,Anti-CASPR2 autoimmune encephalitis,,,,,no match,,
ARI:0001014,Anti-glomerular basement membrane disease,DOID:9808,Goodpasture syndrome,0.549,synonym,(preferred name),788613004,
ARI:0001015,Anti-MAG neuropathy,,,,,no match,,
ARI:0001016,Anti-MDA5 amyopathic dermatomyositis with rapidly progressive ILD,,,,,no match,,
ARI:0001017,Antineutrophil cytoplasmic antibody positive vasculitis,,,,,no match,,
ARI:0001018,Antiphospholipid syndrome,DOID:2988,antiphospholipid syndrome,0.772,name,(preferred name),201450008,
ARI:0001019,Antisynthetase syndrome,DOID:0080744,antisynthetase syndrome,0.772,name,(preferred name),,
ARI:0001020,Aortic valve calcification,,,,,no match,,
ARI:0001021,Aplastic anemia,DOID:12449,aplastic anemia,0.772,name,(preferred name),154807001,
ARI:0001022,Atypical hemolytic uremic syndrome with anti-factor H autoantibodies,,,,,no match,,
ARI:0001023,Autoimmune angioedema,,,,,no match,,
ARI:0001024,Autoimmune cerebellar ataxia,,,,,no match,,
ARI:0001025,Autoimmune diabetes insipidus (neurogenic),,,,,no match,,
ARI:0001026,Autoimmune disease,DOID:417,autoimmune disease,0.772,name,(preferred name),,
ARI:0001027,Autoimmune disorder of inner ear,DOID:9849,Meniere's disease,0.734,name,Ménière's disease,194346003,
ARI:0001028,Autoimmune encephalitis,,,,,no match,,
ARI:0001029,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,,,,,no match,,
ARI:0001030,Autoimmune ganglionopathy,,,,,no match,,
ARI:0001031,Autoimmune gastritis,DOID:0040090,autoimmune gastritis,0.772,name,(preferred name),,
ARI:0001032,Autoimmune hemolytic anemia,DOID:718,autoimmune hemolytic anemia,0.772,name,(preferred name),25121006,
ARI:0001033,Autoimmune hepatitis,DOID:2048,autoimmune hepatitis,0.772,name,(preferred name),16098491000119109,
ARI:0001034,Autoimmune hypoparathyroidism,,,,,no match,,
ARI:0001035,Autoimmune hypophysitis,,,,,no match,,
ARI:0001036,Autoimmune-Inflammatory Syndrome Induced by Adjuvants,,,,,no match,,
ARI:0001037,Autoimmune limbic encephalitis,,,,,no match,,
ARI:0001038,Autoimmune lymphoproliferative syndrome,DOID:6688,autoimmune lymphoproliferative syndrome,0.772,name,(preferred name),702444009,
ARI:0001039,Autoimmune necrotizing myopathy,,,,,no match,,
ARI:0001040,Autoimmune neutropenia,,,,,no match,,
ARI:0001041,Autoimmune oophoritis,,,,,no match,,
ARI:0001042,Autoimmune optic neuropathy,,,,,no match,,
ARI:0001043,Autoimmune pancreatitis,DOID:0040091,autoimmune pancreatitis,0.772,name,(preferred name),448542008,
ARI:0001044,Autoimmune progesterone dermatitis,,,,,no match,,
ARI:0001045,Autoimmune pulmonary alveolar proteinosis,,,,,no match,,
ARI:0001046,Autoimmune retinal vasculitis,,,,,no match,,
ARI:0001047,Autoimmune retinopathy,,,,,no match,,
ARI:0001048,Autoimmune thyroiditis,DOID:7188,autoimmune thyroiditis,0.772,name,(preferred name),190297000,
ARI:0001049,Autoimmune urticaria,DOID:0080747,chronic urticaria,0.772,name,Chronic urticaria,,
ARI:0001050,Autoimmune urticaria and/or angioedema,,,,,no match,,
ARI:0001051,Autoimmune vasculitis,DOID:0040097,autoimmune vasculitis,0.772,name,(preferred name),427213005,
ARI:0001052,Balo concentric sclerosis,DOID:0060215,Balo concentric sclerosis,0.778,name,(preferred name),44875002,
ARI:0001053,Behçet's syndrome,DOID:13241,Behcet's disease,0.734,name,Behçet's disease,310701003,
ARI:0001054,Benign mucous membrane pemphigoid,DOID:11656,cicatricial pemphigoid,0.772,name,Cicatricial pemphigoid,"34250006, 76092003",
ARI:0001055,Bickerstaff's brainstem encephalitis,,,,,no match,,
ARI:0001056,Birdshot chorioretinopathy,DOID:0111079,birdshot chorioretinopathy,0.772,name,(preferred name),231981005,
ARI:0001057,Bullous pemphigoid,DOID:8506,bullous pemphigoid,0.772,name,(preferred name),77090002,
ARI:0001058,Bullous systemic lupus erythematosus,,,,,no match,,
ARI:0001059,Calcinosis due to childhood type dermatomyositis,,,,,no match,,
ARI:0001060,Cataplexy and narcolepsy,,,,,no match,,
ARI:0001061,Celiac disease,DOID:10608,celiac disease,0.772,name,(preferred name),197477005,
ARI:0001062,Chronic Fatigue Syndrome,DOID:8544,chronic fatigue syndrome,0.762,name,(preferred name),193054000,
ARI:0001063,Chronic inflammatory demyelinating polyradiculoneuropathy,DOID:5213,chronic inflammatory demyelinating polyradiculoneuropathy,0.772,name,(preferred name),128209004,
ARI:0001064,Chronic interstitial cystitis,DOID:1678,chronic interstitial cystitis,0.772,name,(preferred name),44497007,
ARI:0001065,Chronic Lyme disease,DOID:11729,Lyme disease,0.778,name,Lyme disease,"154376000, 715507005",
ARI:0001066,Chronic multifocal osteomyelitis,DOID:0060645,chronic recurrent multifocal osteomyelitis,0.549,synonym,(preferred name),,
ARI:0001067,Chronic post-COVID-19 syndrome,DOID:0080848,long COVID,0.772,name,Long COVID,,
ARI:0001068,Cogan's syndrome,DOID:13353,diffuse interstitial keratitis,0.772,name,Diffuse interstitial keratitis,193785001,
ARI:0001069,Cold agglutinin disease,,,,,no match,,
ARI:0001070,Combined immunodeficiency due to LRBA deficiency,,,,,no match,,
ARI:0001071,Complex regional pain syndrome,DOID:3223,complex regional pain syndrome,0.772,name,(preferred name),128200000,
ARI:0001072,COPA syndrome,DOID:0081242,"autoimmune interstitial lung, joint, and kidney disease",0.556,synonym,(preferred name),,
ARI:0001073,Crohn's disease,DOID:8778,Crohn's disease,0.778,name,(preferred name),7620006,
ARI:0001074,Cryptogenic organizing pneumonia,DOID:2797,idiopathic interstitial pneumonia,0.778,name,idiopathic interstitial pneumonia,129459004,
ARI:0001075,CTLA4 haploinsufficiency,,,,,no match,,
ARI:0001076,Cutaneous lupus erythematosus,DOID:0050169,cutaneous lupus erythematosus,0.772,name,(preferred name),,
ARI:0001077,Cutaneous mastocytosis,DOID:3663,cutaneous mastocytosis,0.772,name,(preferred name),703827008,
ARI:0001078,Dermatitis herpetiformis,DOID:8505,dermatitis herpetiformis,0.772,name,(preferred name),200899006,
ARI:0001079,Dermatomyositis,DOID:10223,dermatomyositis,0.762,name,(preferred name),38826005,
ARI:0001080,Diabetes mellitus type 1,DOID:9744,type 1 diabetes mellitus,0.772,name,Type 1 diabetes mellitus,46635009,
ARI:0001081,Eaton-Lambert syndrome,DOID:0050214,Lambert-Eaton myasthenic syndrome,0.778,name,Lambert-Eaton myasthenic syndrome,230688006,
ARI:0001082,Encephalitis caused by anti-gamma-aminobutyric acid-A receptor antibody,,,,,no match,,
ARI:0001083,Encephalopathy caused by anti-IgLON5 antibody,,,,,no match,,
ARI:0001084,Endometriosis,DOID:289,endometriosis,0.762,name,(preferred name),11871002,
ARI:0001085,Enthesitis,,,,,no match,,
ARI:0001086,Eosinophilic esophagitis,DOID:13922,eosinophilic esophagitis,0.772,name,(preferred name),235599003,
ARI:0001087,Epilepsy,DOID:1826,epilepsy,0.762,name,(preferred name),267698007,
ARI:0001088,Episcleritis,,,,,no match,,
ARI:0001089,Erythema nodosum,DOID:0080750,erythema nodosum,0.772,name,(preferred name),,
ARI:0001090,Essential mixed cryoglobulinemia,,,,,no match,,
ARI:0001091,Evans syndrome,,,,,no match,,
ARI:0001092,Fasciitis with eosinophilia syndrome,,,,,no match,,
ARI:0001093,Felty syndrome,DOID:11042,Felty's syndrome,0.778,name,Felty's syndrome,57160007,
ARI:0001094,Female infertility due to antisperm antibodies,,,,,no match,,
ARI:0001095,Fibromyalgia,DOID:631,fibromyalgia,0.762,name,(preferred name),1304004,
ARI:0001096,Graves' disease,DOID:12361,Graves' disease,0.778,name,(preferred name),154655004,
ARI:0001097,Guillain-Barré syndrome,DOID:12842,Guillain-Barre syndrome,0.772,name,(preferred name),155082001,
ARI:0001098,Hemophilia B Leyden,,,,,no match,,
ARI:0001099,Herpes gestationis,DOID:14482,pemphigoid gestationis,0.772,name,Pemphigoid gestationis,86081009,
ARI:0001100,Hidradenitis suppurativa,DOID:2280,hidradenitis suppurativa,0.772,name,(preferred name),201204008,
ARI:0001101,Hypersensitivity angiitis,DOID:9809,hypersensitivity vasculitis,0.762,name,Hypersensitivity Vasculitis,195350001,
ARI:0001102,Idiopathic membranous glomerulonephritis,,,,,no match,,
ARI:0001103,Idiopathic pulmonary fibrosis,DOID:0050156,idiopathic pulmonary fibrosis,0.772,name,(preferred name),28168000,
ARI:0001104,IgA nephropathy,DOID:2986,IgA glomerulonephritis,0.556,synonym,(preferred name),236407003,
ARI:0001105,Immune checkpoint inhibitor-induced autoimmunity,,,,,no match,,
ARI:0001106,"Immune Dysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome",,,,,no match,,
ARI:0001107,Immune thrombocytopenia,DOID:8924,autoimmune thrombocytopenic purpura,0.772,name,Autoimmune thrombocytopenic purpura,234490009,
ARI:0001108,Immunoglobulin A vasculitis,DOID:11123,IgA vasculitis,0.778,name,IgA vasculitis,191306005,
ARI:0001109,Immunoglobulin G4 related disease,DOID:0080356,IgG4-related disease,0.778,name,IgG4-related diseases,,
ARI:0001110,Immunoglobulin G4 related ophthalmic disease,,,,,no match,,
ARI:0001111,Inclusion body myositis,DOID:3429,inclusion body myositis,0.772,name,(preferred name),72315009,
ARI:0001112,Inflammatory Bowel Disease,DOID:0050589,inflammatory bowel disease,0.762,name,(preferred name),155759008,
ARI:0001113,Insulin autoimmune syndrome,DOID:0040100,Hirata disease,0.778,name,Hirata disease,408539000,
ARI:0001114,Insulin resistance - type B,,,,,no match,,
ARI:0001115,Intermediate uveitis,DOID:12732,intermediate uveitis,0.772,name,(preferred name),314429009,
ARI:0001116,Interstitial lung disease,DOID:3082,interstitial lung disease,0.772,name,(preferred name),64667001,
ARI:0001117,Juvenile Rheumatoid Arthritis,DOID:676,systemic juvenile rheumatoid arthritis,0.549,synonym,Juvenile idiopathic arthritis,"201798003, 74391003, 7441009, 83793004",
ARI:0001118,Lichen planus,DOID:9201,lichen planus,0.772,name,(preferred name),156377007,
